,model_name,loss,perplexity
0,local-ckpt-14000,2.5520570278167725,12.833475112915039
1,local-ckpt-32000,2.7049307823181152,14.95328140258789
2,local-ckpt-33000,2.726962089538574,15.286377906799316
3,local-ckpt-34000,2.7309234142303467,15.347052574157715
4,local-ckpt-35000,2.7419981956481934,15.517962455749512
5,beast-ckpt-25000,2.352771282196045,10.514668464660645
6,beast-ckpt-580000,2.7301127910614014,15.334616661071777
7,beast-ckpt-585000,2.7299726009368896,15.332467079162598
8,beast-ckpt-590000,2.7333662509918213,15.384588241577148
9,beast-ckpt-595000,2.7312700748443604,15.352373123168945
